,Ticker_ID,Comment_Frequency,Upvotes
53,NTLA,2,14
604,CNBS,1,14
687,CMG,1,14
790,QUAD,1,14
664,TXMD,1,14
663,INUV,1,14
776,FCK,1,14
691,TTD,2,14
698,COI,1,14
1160,DOOM,2,14
838,SENT,1,14
809,GATE,1,14
1118,59C,1,14
739,NNOX,1,14
766,BUZ,1,14
550,1.5M,1,14
1108,KTOS,1,14
367,SDC,1,13
800,MAC,1,13
1077,HAP,1,13
896,NAN,1,13
383,BIIB,1,13
919,UAVS,1,13
1151,13D,1,13
1135,COUP,1,13
812,SMFH,1,13
374,KODK,1,13
929,SCKT,1,13
732,XXVI,1,13
907,NIO=,1,13
371,DIV,1,13
339,GLTO,1,13
916,GUTS,1,13
1126,PAYS,1,13
767,U.K,1,13
783,ICE,1,13
429,SLAM,1,13
1109,🚀BRO,1,13
1157,SLV,2,13
976,JAN,1,13
453,DGAF,1,13
1110,DAT,1,13
452,TARD,1,13
64,CPNG,2,13
861,LEE,1,13
1044,SEAT,1,13
860,35K,1,13
1112,5MM,1,13
682,EBET,2,13
824,FURY,1,13
630,110K,1,12
799,PUSY,1,12
970,DOGG,1,12
926,80C,1,12
925,COMP,1,12
436,BB😎😎,1,12
637,RRSP,1,12
763,RAM,1,12
645,MSIV,1,12
373,🌙🌚🌕I,1,12
778,NFT,1,12
978,111B,1,12
791,QUOT,1,12
748,DISB,1,12
982,KEE,1,12
1076,JOEY,1,12
649,SKIL,1,12
977,SAVA,1,12
223,ENOB,1,12
923,WIPE,1,12
897,GS2C,1,12
851,WAVE,1,12
850,UP-,1,12
1053,CHE,1,12
565,DCA,1,12
866,UWMH,1,12
90,VTGN,1,12
872,GMR,1,12
1047,DDS,1,12
830,MET,1,12
880,SEAS,1,12
881,NSAV,1,12
490,😂GME,1,12
597,KIND,1,12
911,PUNK,1,12
1144,DDOG,1,12
918,WOOT,1,12
1084,ILY,1,12
768,GPS,1,12
908,AREC,1,12
312,CLEN,1,12
1046,EXPR,1,11
1139,PREZ,1,11
343,IVR,1,11
438,DES,1,11
741,BEA,1,11
764,4AM,1,11
1158,AT4,1,11
278,TEST,1,11
277,STLD,1,11
1136,FOX,1,11
296,RICK,1,11
208,18M,1,11
983,AIR,1,11
710,EOY\,1,11
189,KFC,1,11
639,11M,1,11
284,ATOS,1,11
1152,BO2,1,11
274,KMI,1,11
276,NUE,1,11
1153,FLIR,1,11
853,BONR,1,11
612,CTXR,1,11
882,RKT🚀,1,11
811,OOOF,1,11
502,MMND,1,11
810,OK.,1,11
444,VOL,1,11
606,STOC,1,11
588,LRY,1,11
930,PORT,1,11
931,CCJ,1,11
1120,LEAV,1,11
794,TNT,1,11
1079,ARKA,1,11
814,UST,1,11
940,BILI,1,11
1113,ILCN,1,11
503,PALI,1,11
1127,ALEX,1,11
520,575P,1,11
445,TOMO,1,11
631,18P,1,11
868,TRXC,1,11
852,CPTL,1,11
954,YEET,1,11
875,CAGE,1,11
567,WID,1,11
780,QUE,1,11
876,MR.,1,10
672,PTO,1,10
283,MATE,1,10
282,TAK,1,10
1156,FUNN,1,10
564,180P,1,10
670,GHZ,1,10
705,FAN,1,10
1155,52K,1,10
504,RAIL,1,10
1115,TOPS,1,10
1090,220C,1,10
890,EXPI,1,10
250,BEEP,1,10
711,CHET,1,10
96,AMC/,1,10
869,BOTT,1,10
884,PTRL,1,10
94,SOF,1,10
1045,DOMT,1,10
522,550P,1,10
209,BOWL,1,10
213,126M,1,10
769,WAT,1,10
326,TWNK,1,10
813,CUNT,1,10
657,EARF,1,10
454,WTFF,1,10
1129,765C,1,10
1128,750B,1,10
779,PTS,1,10
175,KISS,1,10
758,TERD,1,10
784,FNKO,1,10
786,🤝TSM,1,10
646,TRIP,1,10
1124,CLOS,1,10
750,GNUS,1,10
749,WBA,1,10
618,POTX,1,10
1121,33C,1,10
909,ETFS,1,10
666,JFC,1,10
608,ETA,1,10
327,CUK,1,10
803,DEE,1,10
804,DIT,1,10
342,EDGE,1,10
1130,THOS,1,9
1086,OTW,1,9
1114,325K,1,9
1132,FURI,1,9
148,AT0S,1,9
1154,BED,1,9
99,RAD,1,9
1142,EXP,1,9
38,ZIM,1,9
